ItemType	Code	Equiv1	Equiv2	*CTC	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
d681	d681			id59 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d682	d682			id59 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d683	d683			id59 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d684	d684			id59 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d685	d685			id59 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d686	d686			id59 lev21	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d687	d687			id59 lev22	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d688	d688			id59 lev23	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d689	d689			id59 lev24	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d690	d690			id59 lev25	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d691	d691			id59 lev26	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d692	d692			id59 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d693	d693			id59 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d694	d694			id59 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d695	d695			id59 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d696	d696			id59 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d697	d697			id59 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d698	d698			id59 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d699	d699			id59 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d700	d700			id59 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d701	d701			id59 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d702	d702			id59 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d703	d703			id59 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d704	d704			id59 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d705	d705			id59 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d706	d706			id59 lev41	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d707	d707			id59 lev42	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d708	d708			id59 lev43	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d709	d709			id59 lev44	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d710	d710			id59 lev45	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d711	d711			id59 lev46	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d712	d712			id59 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d713	d713			id59 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d714	d714			id59 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d715	d715			id59 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d716	d716			id59 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d717	d717			id59 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d718	d718			id59 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d719	d719			id59 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d720	d720			id59 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d721	d721			id59 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d722	d722			id59 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d723	d723			id59 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d724	d724			id59 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d725	d725			id59 lev60	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d726	d726			id59 lev61	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d727	d727			id59 lev62	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d728	d728			id59 lev63	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d729	d729			id60 lev0	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d730	d730			id60 lev1	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d731	d731			id60 lev2	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d732	d732			id60 lev3	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d733	d733			id60 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d734	d734			id60 lev5	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d735	d735			id60 lev6	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d736	d736			id60 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d737	d737			id60 lev8	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d738	d738			id60 lev9	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d739	d739			id60 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d740	d740			id60 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d741	d741			id60 lev12	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d742	d742			id60 lev13	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d743	d743			id60 lev14	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d744	d744			id60 lev15	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d745	d745			id60 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d746	d746			id60 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d747	d747			id60 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d748	d748			id60 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d749	d749			id60 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d750	d750			id60 lev21	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d751	d751			id60 lev22	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d752	d752			id60 lev23	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d753	d753			id60 lev24	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d754	d754			id60 lev25	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d755	d755			id60 lev26	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d756	d756			id60 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d757	d757			id60 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d758	d758			id60 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d759	d759			id60 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d760	d760			id60 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d761	d761			id60 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d762	d762			id60 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d763	d763			id60 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d764	d764			id60 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d765	d765			id60 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d766	d766			id60 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d767	d767			id60 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d768	d768			id60 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d769	d769			id60 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d770	d770			id60 lev41	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d771	d771			id60 lev42	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d772	d772			id60 lev43	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d773	d773			id60 lev44	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d774	d774			id60 lev45	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d775	d775			id60 lev46	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d776	d776			id60 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d777	d777			id60 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d778	d778			id60 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d779	d779			id60 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d780	d780			id60 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d781	d781			id60 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d782	d782			id60 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d783	d783			id60 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d784	d784			id60 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d785	d785			id60 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d786	d786			id60 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d787	d787			id60 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d788	d788			id60 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d789	d789			id60 lev60	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d790	d790			id60 lev61	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d791	d791			id60 lev62	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d792	d792			id60 lev63	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d793	d793			id61 lev0	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d794	d794			id61 lev1	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d795	d795			id61 lev2	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d796	d796			id61 lev3	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d797	d797			id61 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d798	d798			id61 lev5	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d799	d799			id61 lev6	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d800	d800			id61 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d801	d801			id61 lev8	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d802	d802			id61 lev9	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d803	d803			id61 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d804	d804			id61 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d805	d805			id61 lev12	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d806	d806			id61 lev13	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d807	d807			id61 lev14	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d808	d808			id61 lev15	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d809	d809			id61 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d810	d810			id61 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d811	d811			id61 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d812	d812			id61 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d813	d813			id61 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d814	d814			id61 lev21	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d815	d815			id61 lev22	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d816	d816			id61 lev23	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d817	d817			id61 lev24	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d818	d818			id61 lev25	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d819	d819			id61 lev26	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d820	d820			id61 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d821	d821			id61 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d822	d822			id61 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d823	d823			id61 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d824	d824			id61 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d825	d825			id61 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d826	d826			id61 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d827	d827			id61 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d828	d828			id61 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d829	d829			id61 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d830	d830			id61 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d831	d831			id61 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d832	d832			id61 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d833	d833			id61 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d834	d834			id61 lev41	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d835	d835			id61 lev42	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d836	d836			id61 lev43	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d837	d837			id61 lev44	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d838	d838			id61 lev45	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d839	d839			id61 lev46	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d840	d840			id61 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d841	d841			id61 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d842	d842			id61 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d843	d843			id61 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d844	d844			id61 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d845	d845			id61 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d846	d846			id61 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d847	d847			id61 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d848	d848			id61 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d849	d849			id61 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d850	d850			id61 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d851	d851			id61 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d852	d852			id61 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d853	d853			id61 lev60	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d854	d854			id61 lev61	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d855	d855			id61 lev62	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d856	d856			id61 lev63	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d857	d857			id62 lev0	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d858	d858			id62 lev1	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d859	d859			id62 lev2	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d860	d860			id62 lev3	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d861	d861			id62 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d862	d862			id62 lev5	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d863	d863			id62 lev6	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d864	d864			id62 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d865	d865			id62 lev8	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d866	d866			id62 lev9	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d867	d867			id62 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d868	d868			id62 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d869	d869			id62 lev12	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d870	d870			id62 lev13	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d871	d871			id62 lev14	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d872	d872			id62 lev15	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d873	d873			id62 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d874	d874			id62 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d875	d875			id62 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d876	d876			id62 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d877	d877			id62 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d878	d878			id62 lev21	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d879	d879			id62 lev22	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d880	d880			id62 lev23	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d881	d881			id62 lev24	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d882	d882			id62 lev25	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d883	d883			id62 lev26	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d884	d884			id62 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d885	d885			id62 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d886	d886			id62 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d887	d887			id62 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d888	d888			id62 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d889	d889			id62 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d890	d890			id62 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d891	d891			id62 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d892	d892			id62 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d893	d893			id62 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d894	d894			id62 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d895	d895			id62 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d896	d896			id62 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d897	d897			id62 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d898	d898			id62 lev41	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d899	d899			id62 lev42	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d900	d900			id62 lev43	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d901	d901			id62 lev44	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d902	d902			id62 lev45	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d903	d903			id62 lev46	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d904	d904			id62 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d905	d905			id62 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d906	d906			id62 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d907	d907			id62 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d908	d908			id62 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d909	d909			id62 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d910	d910			id62 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d911	d911			id62 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d912	d912			id62 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d913	d913			id62 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d914	d914			id62 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d915	d915			id62 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d916	d916			id62 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d917	d917			id62 lev60	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d918	d918			id62 lev61	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d919	d919			id62 lev62	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d920	d920			id62 lev63	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d921	d921			id63 lev0	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d922	d922			id63 lev1	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d923	d923			id63 lev2	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d924	d924			id63 lev3	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d925	d925			id63 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d926	d926			id63 lev5	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d927	d927			id63 lev6	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d928	d928			id63 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d929	d929			id63 lev8	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d930	d930			id63 lev9	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d931	d931			id63 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d932	d932			id63 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d933	d933			id63 lev12	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d934	d934			id63 lev13	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d935	d935			id63 lev14	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d936	d936			id63 lev15	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d937	d937			id63 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d938	d938			id63 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d939	d939			id63 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d940	d940			id63 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d941	d941			id63 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d942	d942			id63 lev21	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d943	d943			id63 lev22	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d944	d944			id63 lev23	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d945	d945			id63 lev24	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d946	d946			id63 lev25	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d947	d947			id63 lev26	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d948	d948			id63 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d949	d949			id63 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d950	d950			id63 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d951	d951			id63 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d952	d952			id63 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d953	d953			id63 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d954	d954			id63 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d955	d955			id63 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d956	d956			id63 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d957	d957			id63 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d958	d958			id63 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d959	d959			id63 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d960	d960			id63 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d961	d961			id63 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d962	d962			id63 lev41	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d963	d963			id63 lev42	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d964	d964			id63 lev43	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d965	d965			id63 lev44	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d966	d966			id63 lev45	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d967	d967			id63 lev46	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d968	d968			id63 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d969	d969			id63 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d970	d970			id63 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d971	d971			id63 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
d972	d972			id63 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
